%time,field.seq,field.stamp,field.frame_id
1481431644288361072,25923,1468242490746000000,/camera
1481431644321079969,25924,1468242490780000000,/camera
1481431644354762077,25925,1468242490813000000,/camera
1481431644393425941,25926,1468242490846000000,/camera
1481431644427005052,25927,1468242490880000000,/camera
1481431644454451084,25928,1468242490913000000,/camera
1481431644495033025,25929,1468242490946000000,/camera
1481431644523049116,25930,1468242490980000000,/camera
1481431644554241895,25931,1468242491013000000,/camera
1481431644591815948,25932,1468242491046000000,/camera
1481431644621828079,25933,1468242491080000000,/camera
1481431644652415037,25934,1468242491113000000,/camera
1481431644690449953,25935,1468242491146000000,/camera
1481431644720490932,25936,1468242491179000000,/camera
1481431644764607906,25937,1468242491213000000,/camera
1481431644792797088,25938,1468242491246000000,/camera
1481431644820184946,25939,1468242491279000000,/camera
1481431644854370117,25940,1468242491313000000,/camera
1481431644891094923,25941,1468242491346000000,/camera
1481431644923907041,25942,1468242491379000000,/camera
1481431644954854965,25943,1468242491413000000,/camera
1481431644990128993,25944,1468242491446000000,/camera
1481431645027328014,25945,1468242491479000000,/camera
1481431645056058883,25946,1468242491513000000,/camera
1481431645094166994,25947,1468242491546000000,/camera
1481431645122093915,25948,1468242491579000000,/camera
1481431645154799938,25949,1468242491613000000,/camera
1481431645187896966,25950,1468242491646000000,/camera
1481431645223113059,25951,1468242491679000000,/camera
1481431645260988950,25952,1468242491713000000,/camera
1481431645296894073,25953,1468242491746000000,/camera
1481431645324779033,25954,1468242491779000000,/camera
1481431645354597091,25955,1468242491813000000,/camera
1481431645389492988,25956,1468242491846000000,/camera
1481431645430350065,25957,1468242491879000000,/camera
1481431645459497928,25958,1468242491912000000,/camera
1481431645493180036,25959,1468242491946000000,/camera
1481431645522871017,25960,1468242491979000000,/camera
1481431645558351039,25961,1468242492012000000,/camera
1481431645595762968,25962,1468242492046000000,/camera
1481431645627029895,25963,1468242492079000000,/camera
1481431645655041933,25964,1468242492112000000,/camera
1481431645687701940,25965,1468242492146000000,/camera
1481431645719923973,25966,1468242492179000000,/camera
1481431645757407903,25967,1468242492212000000,/camera
1481431645789484024,25968,1468242492246000000,/camera
1481431645820735931,25969,1468242492279000000,/camera
1481431645853919982,25970,1468242492312000000,/camera
1481431645888437032,25971,1468242492346000000,/camera
1481431645922527074,25972,1468242492379000000,/camera
1481431645952902078,25973,1468242492412000000,/camera
1481431645986665964,25974,1468242492446000000,/camera
1481431646019825935,25975,1468242492479000000,/camera
1481431646057311058,25976,1468242492512000000,/camera
1481431646093127965,25977,1468242492546000000,/camera
1481431646121222972,25978,1468242492579000000,/camera
1481431646154571056,25979,1468242492612000000,/camera
1481431646186783075,25980,1468242492645000000,/camera
1481431646219495058,25981,1468242492679000000,/camera
1481431646254220962,25982,1468242492712000000,/camera
1481431646293401956,25983,1468242492745000000,/camera
1481431646321607112,25984,1468242492779000000,/camera
1481431646355799913,25985,1468242492812000000,/camera
1481431646390831947,25986,1468242492845000000,/camera
1481431646421870946,25987,1468242492879000000,/camera
1481431646455056905,25988,1468242492912000000,/camera
1481431646486644029,25989,1468242492945000000,/camera
1481431646522171020,25990,1468242492979000000,/camera
1481431646557862043,25991,1468242493012000000,/camera
1481431646587584018,25992,1468242493045000000,/camera
1481431646620414018,25993,1468242493079000000,/camera
1481431646652465105,25994,1468242493112000000,/camera
1481431646685059070,25995,1468242493145000000,/camera
1481431646719551086,25996,1468242493179000000,/camera
1481431646753007888,25997,1468242493212000000,/camera
1481431646787147998,25998,1468242493245000000,/camera
1481431646818459033,25999,1468242493279000000,/camera
1481431646853739023,26000,1468242493312000000,/camera
1481431646886496067,26001,1468242493345000000,/camera
1481431646920825004,26002,1468242493378000000,/camera
1481431646953345060,26003,1468242493412000000,/camera
1481431646986982107,26004,1468242493445000000,/camera
1481431647017812013,26005,1468242493478000000,/camera
1481431647055532932,26006,1468242493512000000,/camera
1481431647090096950,26007,1468242493545000000,/camera
